Step	Suggestion	GTAction	ComplianceRaw	ComplianceEMA	Reward	Goal	UserComplianceProb	MuBefore	MuAfter	Noise	NoiseStd
1	2.0000	1.0000	0.8000	0.8000	0.8002	4.0000	0.0000	1.0000	1.0000	-1.0880	0.8020
2	1.4833	1.5913	0.9784	0.8357	1.0912	3.2000	0.0606	1.0000	1.0153	0.5620	0.7546
3	1.7998	1.0000	0.8400	0.8366	1.0513	2.4000	0.0003	1.0153	1.0149	-0.1170	0.8018
4	1.3069	1.0512	0.9489	0.8590	1.6789	1.8998	0.3596	1.0149	1.0161	-0.0687	0.5208
5	1.4000	1.4815	0.9837	0.8840	2.3856	1.7416	0.1706	1.0161	1.0294	0.3999	0.6686
6	1.5848	1.3007	0.9432	0.8958	2.3280	1.5833	0.0247	1.0294	1.0362	0.2575	0.7827
7	1.6000	1.3914	0.9583	0.9083	2.3720	1.6348	0.0220	1.0362	1.0450	0.3428	0.7848
8	1.6000	1.0000	0.8800	0.9026	1.8185	1.6848	0.0248	1.0450	1.0439	-0.5613	0.7826
9	1.5000	1.9327	0.9135	0.9048	2.3240	1.6848	0.0824	1.0439	1.0673	0.8512	0.7376
10	1.8000	1.0000	0.8400	0.8918	1.7785	1.6848	0.0008	1.0673	1.0657	-0.2091	0.8014
11	1.3403	2.1243	0.8432	0.8821	2.2345	1.8500	0.4046	1.0657	1.1019	0.9475	0.4856
12	2.0251	1.1727	0.8295	0.8716	1.7776	1.8500	0.0000	1.1019	1.1037	0.0707	0.8020
13	1.5213	1.0000	0.8957	0.8764	1.3679	2.0751	0.1234	1.1037	1.1008	-1.2911	0.7055
14	1.5000	1.0000	0.9000	0.8811	1.3722	2.0751	0.1478	1.1008	1.0980	-0.8622	0.6864
15	1.5882	1.0000	0.8824	0.8814	1.3545	2.0751	0.0560	1.0980	1.0955	-1.1025	0.7582
16	1.5879	1.0000	0.8824	0.8816	1.3546	2.0751	0.0545	1.0955	1.0930	-1.6517	0.7594
17	1.5862	1.0000	0.8828	0.8818	1.3549	2.0751	0.0540	1.0930	1.0906	-1.1049	0.7598
18	1.5831	2.2993	0.8568	0.8768	2.2832	2.0751	0.0545	1.0906	1.1217	1.1819	0.7594
19	1.5801	1.1729	0.9186	0.8852	1.5832	2.0751	0.0803	1.1217	1.1231	0.0144	0.7392
20	1.5196	1.0000	0.8961	0.8873	1.3682	2.0751	0.1515	1.1231	1.1196	-0.7311	0.6835
21	1.6000	1.0000	0.8800	0.8859	1.3522	2.0751	0.0627	1.1196	1.1165	-1.0070	0.7530
22	1.5000	1.0000	0.9000	0.8887	1.3722	2.0751	0.1712	1.1165	1.1132	-0.7002	0.6681
23	1.5797	1.0000	0.8841	0.8878	1.3562	2.0751	0.0734	1.1132	1.1102	-0.1798	0.7446
24	1.5811	1.0000	0.8838	0.8870	1.3560	2.0751	0.0699	1.1102	1.1073	-1.2175	0.7473
25	1.5817	1.0000	0.8837	0.8863	1.3558	2.0751	0.0672	1.1073	1.1046	-0.5027	0.7495
26	1.5823	1.5457	0.9927	0.9076	2.1260	2.0751	0.0646	1.1046	1.1160	0.4102	0.7515
27	1.5853	1.6858	0.9799	0.9220	2.2689	2.0751	0.0711	1.1160	1.1309	0.5364	0.7464
28	1.6401	1.2004	0.9121	0.9200	1.6099	2.0751	0.0445	1.1309	1.1326	0.0468	0.7672
29	1.8000	1.0000	0.8400	0.9040	1.3122	2.0751	0.0024	1.1326	1.1294	-1.4467	0.8001
30	1.7977	1.0000	0.8405	0.8913	1.3126	2.0751	0.0024	1.1294	1.1262	-1.6413	0.8002
31	1.5977	1.0000	0.8805	0.8891	1.3526	2.0751	0.0694	1.1262	1.1230	-1.3508	0.7477
32	1.5981	1.3089	0.9421	0.8997	1.7760	2.0751	0.0666	1.1230	1.1278	0.1543	0.7499
33	1.5994	1.6590	0.9881	0.9174	2.2496	2.0751	0.0693	1.1278	1.1416	0.4985	0.7478
34	1.8000	1.0000	0.8400	0.9019	1.3122	2.0751	0.0028	1.1416	1.1382	-1.1823	0.7998
35	1.6689	1.0000	0.8662	0.8948	1.3384	2.0751	0.0341	1.1382	1.1347	-1.3996	0.7754
36	1.6000	1.3875	0.9575	0.9073	1.8923	2.0751	0.0744	1.1347	1.1413	0.2182	0.7438
37	1.6000	1.4387	0.9677	0.9194	1.9682	2.0751	0.0801	1.1413	1.1491	0.2607	0.7394
38	1.7000	1.5825	0.9765	0.9308	2.1533	2.0751	0.0262	1.1491	1.1600	0.4190	0.7815
39	2.0000	1.0000	0.8000	0.9047	1.2722	2.0751	0.0001	1.1600	1.1561	-0.5981	0.8019
40	1.6004	1.0000	0.8799	0.8997	1.3521	2.0751	0.0935	1.1561	1.1519	-0.8286	0.7289
41	1.6000	1.7708	0.9658	0.9129	2.3331	2.0751	0.0899	1.1519	1.1684	0.5786	0.7317
42	1.6000	1.0000	0.8800	0.9064	1.3522	2.0751	0.1069	1.1684	1.1638	-0.3361	0.7184
43	1.3600	1.0369	0.9354	0.9122	1.4458	2.0751	0.6301	1.1638	1.1588	-0.2506	0.3093
44	1.6369	1.5228	0.9772	0.9252	2.0828	2.0751	0.0644	1.1588	1.1682	0.3333	0.7516
45	1.6369	2.1546	0.8964	0.9194	2.3870	2.0751	0.0717	1.1682	1.1940	0.9528	0.7459
46	2.0000	2.4591	0.9082	0.9172	2.2025	2.0751	0.0002	1.1940	1.2248	1.2650	0.8018
47	2.4725	1.4333	0.7922	0.8922	1.7857	2.0751	0.0000	1.2248	1.2299	0.2084	0.8020
48	2.3183	2.0567	0.9477	0.9033	2.1551	2.5225	0.0000	1.2299	1.2501	0.8268	0.8020
49	2.2195	1.9994	0.9560	0.9138	2.0969	2.5225	0.0000	1.2501	1.2683	0.7493	0.8020
50	2.1625	2.0365	0.9748	0.9260	2.1593	2.5225	0.0000	1.2683	1.2871	0.7682	0.8020
51	2.2004	1.0336	0.7666	0.8941	0.9301	2.5225	0.0000	1.2871	1.2809	-0.2534	0.8020
52	2.1627	1.0000	0.7675	0.8688	0.9152	2.5225	0.0000	1.2809	1.2740	-0.8893	0.8020
53	1.6000	1.1125	0.9025	0.8755	1.1080	2.5225	0.2794	1.2740	1.2690	-0.2526	0.5835
54	1.6336	1.0000	0.8733	0.8751	1.0210	2.5225	0.2028	1.2690	1.2611	-0.8857	0.6434
55	1.5983	1.0000	0.8803	0.8761	1.0280	2.5225	0.2555	1.2611	1.2531	-0.5962	0.6022
56	1.5933	1.6047	0.9977	0.9005	1.6438	2.5225	0.2495	1.2531	1.2638	0.2667	0.6069
