Step	Suggestion	GTAction	ComplianceRaw	ComplianceEMA	Reward	Goal	UserComplianceProb	MuBefore	MuAfter	Noise	NoiseStd
1	2.0000	2.0058	0.9988	0.9988	1.0270	4.0000	1.0000	2.0000	2.0017	0.0058	0.0100
2	2.6058	2.3934	0.9575	0.9906	1.7401	3.2000	0.6962	2.0017	2.1004	-0.0289	0.0756
3	2.7996	2.6242	0.9649	0.9854	2.4634	2.6558	0.6156	2.1004	2.2261	0.0933	0.0930
4	2.9000	2.5895	0.9379	0.9759	2.3398	2.8496	0.6372	2.2261	2.3144	-0.0660	0.0884
5	2.7758	2.7438	0.9936	0.9795	2.4312	2.9500	0.8096	2.3144	2.4298	0.0558	0.0511
6	3.0000	2.7770	0.9554	0.9747	2.4397	2.8796	0.7243	2.4298	2.5187	-0.0657	0.0696
7	3.2000	3.0057	0.9611	0.9720	2.4582	3.0500	0.6309	2.5187	2.6367	0.0571	0.0897
8	3.1000	2.9714	0.9743	0.9724	2.3622	3.2500	0.8081	2.6367	2.7265	-0.0397	0.0514
9	3.1557	3.1170	0.9923	0.9764	2.4660	3.2500	0.8330	2.7265	2.8328	0.0330	0.0461
10	3.3000	3.2443	0.9889	0.9789	2.4888	3.2500	0.8053	2.8328	2.9431	0.0352	0.0521
11	3.3012	3.2595	0.9917	0.9814	2.4794	3.3500	0.8806	2.9431	3.0315	0.0011	0.0358
12	3.4279	3.3821	0.9908	0.9833	2.4894	3.3512	0.8556	3.0315	3.1281	0.0114	0.0412
13	3.5000	3.4234	0.9847	0.9836	2.4802	3.4779	0.8717	3.1281	3.2102	-0.0289	0.0377
14	3.6000	3.5075	0.9815	0.9832	2.4788	3.5500	0.8600	3.2102	3.2923	-0.0380	0.0402
15	3.6070	3.5826	0.9951	0.9856	2.4883	3.6500	0.9064	3.2923	3.3745	0.0051	0.0302
16	3.7000	3.6787	0.9957	0.9876	2.4950	3.6570	0.9002	3.3745	3.4603	0.0112	0.0316
17	3.7668	3.7379	0.9942	0.9889	2.4940	3.7500	0.9110	3.4603	3.5391	-0.0016	0.0292
18	3.8633	3.8354	0.9944	0.9900	2.4939	3.8168	0.9010	3.5391	3.6227	0.0041	0.0314
19	3.9231	3.8678	0.9889	0.9898	2.4858	3.9133	0.9144	3.6227	3.6924	-0.0296	0.0285
20	4.0209	3.9773	0.9913	0.9901	2.4912	3.9731	0.8985	3.6924	3.7727	-0.0103	0.0319
21	4.0537	4.0697	0.9968	0.9914	2.4968	4.0709	0.9246	3.7727	3.8576	0.0372	0.0263
22	4.1635	4.0999	0.9873	0.9906	2.4873	4.1037	0.9113	3.8576	3.9264	-0.0365	0.0292
23	4.2562	4.2511	0.9990	0.9923	2.4969	4.2135	0.8977	3.9264	4.0179	0.0287	0.0321
24	4.3000	4.2937	0.9987	0.9936	2.4985	4.3062	0.9241	4.0179	4.0967	0.0151	0.0264
25	4.4381	4.4002	0.9924	0.9933	2.4886	4.3500	0.8908	4.0967	4.1819	-0.0006	0.0336
26	4.5000	4.4785	0.9957	0.9938	2.4956	4.4881	0.9045	4.1819	4.2658	0.0089	0.0306
27	4.5876	4.6213	0.9933	0.9937	2.4856	4.5500	0.9023	4.2658	4.3662	0.0651	0.0311
28	4.6661	4.6663	1.0000	0.9950	2.4987	4.6376	0.9147	4.3662	4.4515	0.0258	0.0284
29	4.8090	4.7531	0.9888	0.9937	2.4868	4.7161	0.8809	4.4515	4.5358	-0.0133	0.0357
30	4.8541	4.8378	0.9967	0.9943	2.4961	4.8590	0.9044	4.5358	4.6212	0.0141	0.0307
31	4.9411	4.8775	0.9873	0.9929	2.4862	4.9041	0.9034	4.6212	4.6936	-0.0326	0.0309
32	5.0000	4.9326	0.9865	0.9916	2.4814	4.9911	0.9111	4.6936	4.7614	-0.0402	0.0292
33	5.0000	4.9838	0.9968	0.9927	2.4964	5.0000	0.9451	4.7614	4.8257	-0.0031	0.0219
34	5.0000	4.9817	0.9963	0.9934	2.4958	5.0000	0.9703	4.8257	4.8713	-0.0131	0.0164
35	5.0000	4.9877	0.9975	0.9942	2.4973	5.0000	0.9837	4.8713	4.9056	-0.0102	0.0135
36	5.0000	4.9800	0.9960	0.9946	2.4954	5.0000	0.9912	4.9056	4.9276	-0.0192	0.0119
37	5.0000	4.9988	0.9998	0.9956	2.4998	5.0000	0.9948	4.9276	4.9487	-0.0008	0.0111
38	5.0000	5.0000	1.0000	0.9965	2.5000	5.0000	0.9974	4.9487	4.9639	0.0099	0.0106
39	5.0000	4.9963	0.9993	0.9970	2.4992	5.0000	0.9987	4.9639	4.9735	-0.0037	0.0103
40	5.0000	4.9927	0.9985	0.9973	2.4985	5.0000	0.9993	4.9735	4.9792	-0.0073	0.0102
41	5.0000	5.0000	1.0000	0.9979	2.5000	5.0000	0.9996	4.9792	4.9854	0.0074	0.0101
42	5.0000	5.0000	1.0000	0.9983	2.5000	5.0000	0.9998	4.9854	4.9897	0.0084	0.0100
43	5.0000	5.0000	1.0000	0.9986	2.5000	5.0000	0.9999	4.9897	4.9928	0.0049	0.0100
44	5.0000	5.0000	1.0000	0.9989	2.5000	5.0000	0.9999	4.9928	4.9949	0.0046	0.0100
45	5.0000	5.0000	1.0000	0.9991	2.5000	5.0000	1.0000	4.9949	4.9964	0.0018	0.0100
46	5.0000	4.9777	0.9955	0.9984	2.4948	5.0000	1.0000	4.9964	4.9909	-0.0223	0.0100
47	5.0000	4.9876	0.9975	0.9982	2.4973	5.0000	0.9999	4.9909	4.9899	-0.0124	0.0100
48	5.0000	5.0000	1.0000	0.9986	2.5000	5.0000	0.9999	4.9899	4.9929	0.0094	0.0100
49	5.0000	4.9943	0.9989	0.9986	2.4988	5.0000	0.9999	4.9929	4.9933	-0.0057	0.0100
50	5.0000	5.0000	1.0000	0.9989	2.5000	5.0000	1.0000	4.9933	4.9953	0.0182	0.0100
51	5.0000	4.9961	0.9992	0.9990	2.4992	5.0000	1.0000	4.9953	4.9955	-0.0039	0.0100
52	5.0000	4.9845	0.9969	0.9986	2.4965	5.0000	1.0000	4.9955	4.9922	-0.0155	0.0100
53	5.0000	4.9877	0.9975	0.9984	2.4973	5.0000	0.9999	4.9922	4.9909	-0.0123	0.0100
